,0,1,2,3,4
0,nil,0.0,0.0,0.0,0.0
1,bathroom,2.12751531601,0.913491785526,1.04734921455,0.937941074371
2,bedroom,2.2186331749,1.39217352867,1.11067593098,1.42143321037
3,do,0.392133712769,0.477798193693,0.477604329586,0.763760566711
4,"e,e",0.318161904812,0.402995675802,0.403869181871,2.50807332993
5,"e,n",0.395569384098,0.432504028082,0.433077335358,2.3166012764
6,"e,s",0.401913762093,0.372719675303,0.373497724533,2.21149110794
7,east,0.784685730934,2.5822622776,1.33002233505,1.40223181248
8,from,0.538293063641,0.528306126595,0.528305709362,0.795523643494
9,garden,2.35823607445,1.15011382103,2.1203315258,1.07952713966
10,go,0.514847397804,0.514751851559,0.514858841896,0.796074450016
11,hallway,2.33469438553,1.09559631348,1.25923585892,1.31995916367
12,how,0.412596434355,0.360739499331,0.36108726263,0.712168157101
13,is,0.457908391953,0.732127070427,0.673889875412,0.569544434547
14,kitchen,2.25739145279,1.46978235245,1.08360254765,1.20177733898
15,"n,e",0.437671303749,0.291397303343,0.291281729937,1.9714256525
16,"n,n",0.358149498701,0.462970167398,0.463123828173,1.89951503277
17,"n,w",0.576456785202,0.40851560235,0.408379524946,2.18442940712
18,north,0.727303266525,2.26380562782,1.59784686565,1.16174423695
19,of,0.376023173332,0.752959907055,0.641126513481,0.674235463142
20,office,2.24226522446,1.57886648178,1.77522480488,0.971944510937
21,"s,e",0.495101332664,0.535312354565,0.534959077835,2.00191640854
22,"s,s",0.375577151775,0.358249902725,0.358628064394,2.31302690506
23,"s,w",0.521382212639,0.406409353018,0.40681296587,2.27124214172
24,south,0.666724026203,2.15242218971,0.886788070202,1.22484767437
25,the,0.850595414639,1.34189915657,1.06751763821,0.55239033699
26,to,0.41302883625,0.484133094549,0.483869582415,0.775375306606
27,"w,n",0.381808280945,0.354490369558,0.354526937008,2.29933571815
28,"w,s",0.412727177143,0.412276804447,0.41172260046,2.26960802078
29,"w,w",0.387298047543,0.409765034914,0.408957928419,2.06891131401
30,west,0.845213353634,2.64838075638,1.22899949551,1.51380908489
31,you,0.335232287645,0.43048837781,0.430314779282,0.741046667099
